 time,player_x,player_y,player_rotation,robot_x,robot_y,robot_rotation, fire_canteen
2024-10-25 15:12:42,28.042587,0.047,-90,28.948,-16.6698,0,True
2024-10-25 15:12:43,26.161043,0.047,-90,28.948,-16.6698,0,True
2024-10-25 15:12:44,22.334604,0.047,-90,28.948,-16.6698,0,True
2024-10-25 15:12:45,18.348301,0.068012,-88.818237,28.948,-16.6698,0,True
2024-10-25 15:12:46,14.350136,0.143177,-88.818237,28.948,-16.6698,0,True
2024-10-25 15:12:47,10.351402,0.183515,-90.590874,28.948,-16.6698,0,True
2024-10-25 15:12:48,7.702108,0.158994,-90.236351,28.948,-16.6698,0,True
2024-10-25 15:12:49,7.702108,0.158994,-90.709061,28.948,-16.6698,0,True
2024-10-25 15:12:50,7.702108,0.158994,-90.709061,28.948,-16.6698,0,True
2024-10-25 15:12:51,7.702108,0.158994,-90.709061,28.948,-16.6698,0,True
2024-10-25 15:12:52,27,0,-90,28.948,-16.6698,0,True
2024-10-25 15:12:53,26.941311,0.008904,-81.373108,28.948,-16.6698,0,True
2024-10-25 15:12:54,23.915485,0.348258,-86.336525,28.948,-16.6698,0,True
2024-10-25 15:12:55,19.99464,0.479113,-89.881828,28.948,-16.6698,0,True
2024-10-25 15:12:56,16.000845,0.506944,-89.409126,28.948,-16.6698,0,True
2024-10-25 15:12:57,13.315138,0.533308,-89.409126,28.948,-16.6698,0,True
2024-10-25 15:12:58,9.52544,0.530348,-96.49971,28.948,-16.6698,0,True
2024-10-25 15:12:59,7.695198,0.394003,-95.436119,28.948,-16.6698,0,True
2024-10-25 15:13:00,7.695198,0.394003,-95.436119,28.948,-16.6698,0,True
2024-10-25 15:13:01,7.695198,0.394003,-95.436119,28.948,-16.6698,0,True
2024-10-25 15:13:02,7.695198,0.394003,-95.790649,28.948,-16.6698,0,True
2024-10-25 15:13:03,7.695198,0.394003,-95.790649,28.948,-16.6698,0,True
2024-10-25 15:13:04,7.695198,0.394003,-94.845238,28.948,-16.6698,0,True
2024-10-25 15:13:05,7.695198,0.394003,-94.845238,28.948,-16.6698,0,True
2024-10-25 15:13:08,7.695198,0.394003,-94.845238,28.948,-16.6698,0,True
2024-10-25 15:13:09,28.546,-18.9914,-90,28.948,-16.6698,0,True
2024-10-25 15:13:10,28.546,-18.9914,-90,28.948,-16.6698,0,True
2024-10-25 15:13:11,28.546,-18.9914,-90,28.948,-16.6698,0,True
2024-10-25 15:13:12,28.546,-18.9914,-90,28.948,-16.6698,0,True
2024-10-25 15:13:13,28.546,-18.9914,-89.881828,28.948,-16.6698,0,True
2024-10-25 15:13:14,28.546,-18.9914,-89.881828,28.948,-16.6698,0,True
2024-10-25 15:13:15,28.546,-18.9914,-89.881828,28.948,-16.6698,0,True
2024-10-25 15:13:16,28.546,-18.9914,-89.881828,28.948,-16.6698,0,True
2024-10-25 15:13:17,28.546,-18.9914,-89.881828,28.948,-16.6698,0,True
2024-10-25 15:13:18,28.546,-18.9914,-89.881828,28.948,-16.6698,0,True
2024-10-25 15:13:19,28.546,-18.9914,-89.881828,28.948,-16.6698,0,True
2024-10-25 15:13:20,28.546,-18.9914,-89.881828,28.948,-16.6698,0,True
2024-10-25 15:13:21,28.546,-18.9914,-89.881828,28.948,-16.6698,0,True
2024-10-25 15:13:22,28.546,-18.9914,-89.881828,28.948,-16.6698,0,True
2024-10-25 15:13:23,28.546,-18.9914,-89.881828,28.948,-16.6698,0,True
2024-10-25 15:13:24,28.546,-18.9914,-89.881828,28.948,-16.6698,0,True
2024-10-25 15:13:25,28.546,-18.9914,-89.881828,28.948,-16.6698,0,True
2024-10-25 15:13:26,28.546,-18.9914,-89.881828,28.948,-16.6698,0,True
2024-10-25 15:13:27,28.546,-18.9914,33.139977,28.948,-16.6698,0,True
2024-10-25 15:13:28,28.94964,-17.463617,-5.385579,28.948,-16.6698,0,True
2024-10-25 15:13:29,30.029697,-16.646959,-5.385579,28.948,-16.6698,0,True
2024-10-25 15:13:30,29.912189,-16.074402,-6.567346,28.948,-16.6698,0,True
2024-10-25 15:13:31,27.680819,-10.173806,-9.403582,28.185272,-13.463228,-15.451814,True
2024-10-25 15:13:32,26.938789,-6.330101,1.823195,27.66131,-11.56776,-15.446139,True
