 time,player_x,player_y,player_rotation,robot_x,robot_y,robot_rotation, fire_canteen, fire_HR, fire_manager, fire_lounge, fire_warehouse, fire_restroom, fireA_chair, fireA_printer, fireA_bin, fireA_table
2024-10-28 14:58:11,28.042587,0.047,-89.17276,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True
2024-10-28 14:58:12,25.743111,0.080204,-89.17276,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True
2024-10-28 14:58:13,21.872362,0.136098,-89.17276,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True
