 time,player_x,player_y,player_rotation,robot_x,robot_y,robot_rotation, fire_canteen, fire_HR, fire_manager, fire_lounge, fire_warehouse, fire_restroom, fireA_chair, fireA_printer, fireA_bin, fireA_table
2024-10-28 14:23:36,28.042587,0.047,-90.354523,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True
2024-10-28 14:23:37,26.102261,0.034995,-90.354523,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True
2024-10-28 14:23:38,22.268667,0.011276,-90.354523,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True
2024-10-28 14:23:39,19.308399,-0.007036,-90.354523,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True
2024-10-28 14:23:40,16.240782,-0.026016,-90.354523,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True
2024-10-28 14:23:41,12.313391,-0.050307,-90.354523,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True
2024-10-28 14:23:42,8.319134,-0.06558,-88.936409,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True
2024-10-28 14:23:43,7.402975,-0.056684,-88.936409,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True
2024-10-28 14:23:44,7.402975,-0.056684,-85.863815,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True
2024-10-28 14:23:45,7.402975,-0.056684,-85.863815,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True
2024-10-28 14:23:46,7.402975,-0.056684,-85.863815,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True
2024-10-28 14:23:47,26.805254,0,-90,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True
2024-10-28 14:23:48,23.575619,-0.047632,-91.418114,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True
2024-10-28 14:23:49,19.636673,-0.142246,-91.418114,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True
2024-10-28 14:23:50,17.191614,-0.202579,-91.418114,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True
