 time,player_x,player_y,player_rotation,robot_x,robot_y,robot_rotation
2024-10-10 16:55:51,28.042587,0.047,-87.754646,28.948,-16.6698,0
2024-10-10 16:55:52,28.042587,0.047,-88.936409,28.948,-16.6698,0
2024-10-10 16:55:53,27.289997,0.012829,-92.599884,28.948,-16.6698,0
2024-10-10 16:55:54,23.717911,-0.149371,-92.599884,28.948,-16.6698,0
2024-10-10 16:55:55,19.754988,-0.329311,-92.599884,28.948,-16.6698,0
2024-10-10 16:55:56,16.131945,0.511912,-92.599884,28.948,-16.6698,0
2024-10-10 16:55:57,12.479182,0.358853,-92.599884,28.948,-16.6698,0
2024-10-10 16:55:58,8.789822,0.652638,-92.599884,28.948,-16.6698,0
2024-10-10 16:55:59,8.719461,0.65338,-92.599884,28.948,-16.6698,0
2024-10-10 16:56:00,8.719461,0.65338,-92.599884,28.948,-16.6698,0
2024-10-10 16:56:01,8.719461,0.65338,-99.926826,28.948,-16.6698,0
2024-10-10 16:56:02,8.463573,0.607508,-100.163185,28.948,-16.6698,0
2024-10-10 16:56:03,7.27903,0.395163,-100.163185,28.948,-16.6698,0
2024-10-10 16:56:04,7.27903,0.395163,-100.163185,28.948,-16.6698,0
2024-10-10 16:56:05,7.27903,0.395163,-100.163185,28.948,-16.6698,0
2024-10-10 16:56:06,26.962408,0,-90,28.948,-16.6698,0
2024-10-10 16:56:07,24.898476,0,-90,28.948,-16.6698,0
2024-10-10 16:56:08,23.950089,0,-90,28.948,-16.6698,0
2024-10-10 16:56:09,20.307911,0,-90,28.948,-16.6698,0
2024-10-10 16:56:10,20.99394,0,-90,28.948,-16.6698,0
2024-10-10 16:56:11,24.765957,0,-90,28.948,-16.6698,0
2024-10-10 16:56:12,28.748222,0,-90,28.948,-16.6698,0
2024-10-10 16:56:13,29.532759,0,-90,28.948,-16.6698,0
2024-10-10 16:56:14,29.532759,0,-90,28.948,-16.6698,0
