 time,player_x,player_y,player_rotation,robot_x,robot_y,robot_rotation
2024-10-10 16:45:42,28.042587,0.047,-90,28.948,-16.6698,0
2024-10-10 16:45:43,27.742849,-0.565129,-90,28.948,-16.6698,0
2024-10-10 16:45:44,26.764105,-0.101474,-90,28.948,-16.6698,0
2024-10-10 16:45:45,23.294136,-0.065756,-90,28.948,-16.6698,0
2024-10-10 16:45:46,19.335375,-0.062974,-90,28.948,-16.6698,0
2024-10-10 16:45:47,15.271915,-0.062755,-90,28.948,-16.6698,0
2024-10-10 16:45:48,11.578819,0.676352,-90,28.948,-16.6698,0
2024-10-10 16:45:49,8.635269,0.77055,-90,28.948,-16.6698,0
2024-10-10 16:45:50,8.634781,0.770555,-106.662895,28.948,-16.6698,0
2024-10-10 16:45:51,8.634781,0.770555,-100.990425,28.948,-16.6698,0
2024-10-10 16:45:52,8.130772,0.678056,-100.635887,28.948,-16.6698,0
2024-10-10 16:45:53,8.130772,0.678056,-93.899834,28.948,-16.6698,0
2024-10-10 16:45:54,27,0,-90,28.948,-16.6698,0
2024-10-10 16:45:55,26.199139,0,-90,28.948,-16.6698,0
2024-10-10 16:45:56,22.605696,0,-90,28.948,-16.6698,0
2024-10-10 16:45:57,19.388105,0,-90,28.948,-16.6698,0
2024-10-10 16:45:58,19.385927,0,-90,28.948,-16.6698,0
2024-10-10 16:45:59,19.385927,0,-90,28.948,-16.6698,0
2024-10-10 16:46:00,19.385927,0,-90,28.948,-16.6698,0
