 time,player_x,player_y,player_rotation,robot_x,robot_y,robot_rotation, fire_canteen, fire_HR, fire_manager, fire_lounge, fire_warehouse, fire_restroom, fireA_chair, fireA_printer, fireA_bin, fireA_table, robot_call
2024-10-29 15:19:34,15.936163,0.456671,-87.636467,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True,
2024-10-29 15:19:35,15.936163,0.456671,-87.636467,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True,
2024-10-29 15:19:36,15.936163,0.456671,-87.636467,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True,
2024-10-29 15:19:37,15.936163,0.456671,-87.636467,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True,
2024-10-29 15:19:38,15.936163,0.456671,-87.636467,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True,
2024-10-29 15:19:39,15.936163,0.456671,-87.636467,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True,
2024-10-29 15:19:40,15.936163,0.456671,-87.636467,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True,
2024-10-29 15:19:41,15.936163,0.456671,-87.636467,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True,
2024-10-29 15:19:42,15.936163,0.456671,-87.636467,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True,
2024-10-29 15:19:43,15.936163,0.456671,-87.636467,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True,
2024-10-29 15:19:44,15.936163,0.456671,-87.636467,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True,
2024-10-29 15:19:45,15.936163,0.456671,-87.636467,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True,
2024-10-29 15:19:46,15.936163,0.456671,-87.636467,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True,
2024-10-29 15:19:47,15.936163,0.456671,-87.636467,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True,
2024-10-29 15:19:48,15.936163,0.456671,-87.636467,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True,
2024-10-29 15:19:49,15.936163,0.456671,-87.636467,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True,
2024-10-29 15:19:50,15.936163,0.456671,-87.636467,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True,
2024-10-29 15:19:51,15.936163,0.456671,-87.636467,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True,
2024-10-29 15:19:52,15.936163,0.456671,-87.636467,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True,
2024-10-29 15:19:53,15.936163,0.456671,-87.636467,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True,
2024-10-29 15:19:54,15.936163,0.456671,-87.636467,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True,
2024-10-29 15:19:55,15.936163,0.456671,-87.636467,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True,
2024-10-29 15:19:56,15.936163,0.456671,-87.636467,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True,
2024-10-29 15:19:57,15.936163,0.456671,-87.636467,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True,
2024-10-29 15:19:58,15.936163,0.456671,-87.636467,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True,
2024-10-29 15:19:59,15.936163,0.456671,-87.636467,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True,
2024-10-29 15:20:00,15.936163,0.456671,-87.636467,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True,
2024-10-29 15:20:01,15.936163,0.456671,-87.636467,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True,
2024-10-29 15:20:02,15.936163,0.456671,-87.636467,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True,
2024-10-29 15:20:03,15.936163,0.456671,-87.636467,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True,
2024-10-29 15:20:04,15.936163,0.456671,-87.636467,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True,
2024-10-29 15:20:05,15.936163,0.456671,-87.636467,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True,
2024-10-29 15:20:06,15.936163,0.456671,-87.636467,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True,
2024-10-29 15:20:07,15.936163,0.456671,-87.636467,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True,
2024-10-29 15:20:08,15.936163,0.456671,-87.636467,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True,
2024-10-29 15:20:09,15.936163,0.456671,-87.636467,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True,
2024-10-29 15:20:10,15.936163,0.456671,-87.636467,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True,
2024-10-29 15:20:11,15.936163,0.456671,-87.636467,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True,
2024-10-29 15:20:12,15.936163,0.456671,-87.636467,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True,
2024-10-29 15:20:13,15.936163,0.456671,-87.636467,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True,
2024-10-29 15:20:14,15.936163,0.456671,-87.636467,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True,
2024-10-29 15:20:15,15.936163,0.456671,-87.636467,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True,
2024-10-29 15:20:16,15.936163,0.456671,-87.636467,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True,
2024-10-29 15:20:17,15.936163,0.456671,-87.636467,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True,
2024-10-29 15:20:18,15.936163,0.456671,-87.636467,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True,
2024-10-29 15:20:19,15.936163,0.456671,-87.636467,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True,
2024-10-29 15:20:20,15.936163,0.456671,-87.636467,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True,
2024-10-29 15:20:21,15.936163,0.456671,-87.636467,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True,
2024-10-29 15:20:22,15.936163,0.456671,-87.636467,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True,
2024-10-29 15:20:23,15.936163,0.456671,-87.636467,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True,
2024-10-29 15:20:24,15.936163,0.456671,-87.636467,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True,
2024-10-29 15:20:25,15.936163,0.456671,-87.636467,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True,
2024-10-29 15:20:26,15.936163,0.456671,-87.636467,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True,
2024-10-29 15:20:27,15.936163,0.456671,-87.636467,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True,
2024-10-29 15:20:28,15.936163,0.456671,-87.636467,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True,
2024-10-29 15:20:29,15.936163,0.456671,-87.636467,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True,
2024-10-29 15:20:30,15.936163,0.456671,-87.636467,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True,
2024-10-29 15:20:31,15.936163,0.456671,-87.636467,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True,
2024-10-29 15:20:32,15.936163,0.456671,-87.636467,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True,
2024-10-29 15:20:33,15.936163,0.456671,-87.636467,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True,
2024-10-29 15:20:34,15.936163,0.456671,-87.636467,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True,
2024-10-29 15:20:35,15.936163,0.456671,-87.636467,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True,
2024-10-29 15:20:36,15.936163,0.456671,-87.636467,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True,
2024-10-29 15:20:37,15.936163,0.456671,-87.636467,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True,
2024-10-29 15:20:38,15.936163,0.456671,-87.636467,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True,
2024-10-29 15:20:39,15.936163,0.456671,-87.636467,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True,
2024-10-29 15:20:40,15.936163,0.456671,-87.636467,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True,
2024-10-29 15:20:41,15.936163,0.456671,-87.636467,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True,
2024-10-29 15:20:42,15.936163,0.456671,-87.636467,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True,
2024-10-29 15:20:43,15.936163,0.456671,-87.636467,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True,
