 time,player_x,player_y,player_rotation,robot_x,robot_y,robot_rotation
2024-10-10 17:10:22,28.042587,0.047,-90,28.948,-16.6698,0
2024-10-10 17:10:23,27.302305,0.047,-90,28.948,-16.6698,0
2024-10-10 17:10:24,25.266825,0.047,-90,28.948,-16.6698,0
2024-10-10 17:10:25,21.569357,-0.265718,-90,28.948,-16.6698,0
2024-10-10 17:10:26,17.607624,-0.325536,-90,28.948,-16.6698,0
2024-10-10 17:10:27,13.961879,0.387775,-90,28.948,-16.6698,0
2024-10-10 17:10:28,10.125786,0.2041,-90,28.948,-16.6698,0
2024-10-10 17:10:29,7.354183,0.191198,-90.709061,28.948,-16.6698,0
2024-10-10 17:10:30,7.354183,0.191198,-89.290932,28.948,-16.6698,0
2024-10-10 17:10:31,7.354183,0.191198,-89.290932,28.948,-16.6698,0
2024-10-10 17:10:32,7.354183,0.191198,-89.290932,28.948,-16.6698,0
2024-10-10 17:10:33,27,0,-90,28.948,-16.6698,0
2024-10-10 17:10:34,25.050993,0,-90,28.948,-16.6698,0
2024-10-10 17:10:35,22.765022,-0.006192,-83.85482,28.948,-16.6698,0
2024-10-10 17:10:36,18.916584,-0.053208,-89.645477,28.948,-16.6698,0
2024-10-10 17:10:37,16.145311,-0.075631,-90.236351,28.948,-16.6698,0
2024-10-10 17:10:38,16.145239,-0.075631,-90.236351,28.948,-16.6698,0
2024-10-10 17:10:39,16.439928,-0.074414,-90.236351,28.948,-16.6698,0
2024-10-10 17:10:40,19.762363,-0.060709,-90.236351,28.948,-16.6698,0
2024-10-10 17:10:41,22.959913,-0.047521,-90.236351,28.948,-16.6698,0
