 time,player_x,player_y,player_rotation,robot_x,robot_y,robot_rotation, fire_canteen, fire_HR, fire_manager, fire_lounge, fire_warehouse, fire_restroom, fireA_chair, fireA_printer, fireA_bin, fireA_table
2024-10-28 16:27:34,28.042587,0.047,-90,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True
2024-10-28 16:27:35,26.673204,0.047,-90,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True
2024-10-28 16:27:36,24.30854,0.047,-90,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True
2024-10-28 16:27:37,24.30854,0.047,-133.96167,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True
2024-10-28 16:27:38,24.30854,0.047,-146.133865,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True
