 time,player_x,player_y,player_rotation,robot_x,robot_y,robot_rotation, fire_canteen, fire_HR, fire_manager, fire_lounge, fire_warehouse, fire_restroom, fireA_chair, fireA_printer, fireA_bin, fireA_table
2024-10-28 13:57:17,28.042587,0.047,-90,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True
2024-10-28 13:57:18,25.49807,0.047,-90,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True
2024-10-28 13:57:19,21.606745,0.047,-90,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True
2024-10-28 13:57:20,19.447748,0.047,-90,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True
2024-10-28 13:57:21,16.701015,0.047,-87.636467,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True
2024-10-28 13:57:22,16.699015,0.047,-85.036575,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True
2024-10-28 13:57:23,16.699015,0.047,-85.036575,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True
2024-10-28 13:57:24,16.699015,0.047,-85.036575,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True
2024-10-28 13:57:25,16.699015,0.047,140.478485,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True
2024-10-28 13:57:26,16.957952,0.023897,95.098671,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True
2024-10-28 13:57:27,20.23794,-0.268758,95.098671,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True
2024-10-28 13:57:28,22.499233,-0.470521,95.098671,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True
2024-10-28 13:57:29,22.499233,-0.470521,95.098671,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True
2024-10-28 13:57:30,22.499233,-0.470521,95.098671,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True
2024-10-28 13:57:31,22.499233,-0.470521,95.098671,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True
