 time,player_x,player_y,player_rotation,robot_x,robot_y,robot_rotation, fire_canteen, fire_HR, fire_manager, fire_lounge, fire_warehouse, fire_restroom, fireA_chair, fireA_printer, fireA_bin, fireA_table, robot_call
2024-11-18 16:24:35,28.042587,0.047,-90,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True,
2024-11-18 16:24:36,26.782011,0.047,-90,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True,
2024-11-18 16:24:37,23.059195,0.047,-90,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True,
2024-11-18 16:24:41,20.203209,0.047,-90,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True,
2024-11-18 16:24:42,16.522734,0.047,-90,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True,
2024-11-18 16:24:43,12.54763,0.042742,-91.063591,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True,
2024-11-18 16:24:44,8.549953,0.012952,-87.990997,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True,
2024-11-18 16:24:45,7.300699,0.036312,-88.936409,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True,
2024-11-18 16:24:46,7.300699,0.036312,-88.227348,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True,
2024-11-18 16:24:47,7.300699,0.036312,-88.227348,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True,
2024-11-18 16:24:48,7.300699,0.036312,-88.227348,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True,
2024-11-18 16:24:49,7.300699,0.036312,-86.809235,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True,
2024-11-18 16:24:50,7.300699,0.036312,-86.809235,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True,
2024-11-18 16:24:51,27,0,-89.17276,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True,
2024-11-18 16:24:52,25.059841,0.028015,-89.17276,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True,
2024-11-18 16:24:54,21.347744,0.081618,-89.17276,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True,
2024-11-18 16:24:55,21.309486,0.082171,-89.17276,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True,
