 time,player_x,player_y,player_rotation,robot_x,robot_y,robot_rotation, fire_canteen, fire_HR, fire_manager, fire_lounge, fire_warehouse, fire_restroom, fireA_chair, fireA_printer, fireA_bin, fireA_table, robot_call
2024-11-18 16:59:38,27.615007,0.047078,-89.881828,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True,
2024-11-18 16:59:39,24.546059,0.075271,-88.936409,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True,
2024-11-18 16:59:42,20.556139,0.200389,-87.518295,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True,
2024-11-18 16:59:43,16.56505,0.313488,-92.363533,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True,
2024-11-18 16:59:44,13.355288,0.274312,-90.354523,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True,
2024-11-18 16:59:45,9.505085,0.24333,-91.299942,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True,
2024-11-18 16:59:46,8.013527,0.215069,-92.127174,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True,
2024-11-18 16:59:47,7.977642,0.21408,-92.599884,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True,
2024-11-18 16:59:48,7.977642,0.21408,-92.245354,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True,
2024-11-18 16:59:49,7.977642,0.21408,-92.245354,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True,
2024-11-18 16:59:50,26.339098,0,-90,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True,
2024-11-18 16:59:53,22.869196,-0.008948,-90.354523,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True,
2024-11-18 16:59:54,21.122171,-0.019702,-90.354523,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True,
2024-11-18 16:59:55,17.329998,-0.043157,-90.354523,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True,
2024-11-18 16:59:59,13.534032,-0.06664,-90.354523,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True,
2024-11-18 17:00:00,9.819469,-0.089619,-90.354523,28.948,-16.6698,0,True,True,True,True,True,True,True,True,True,True,
